name,brewery,year,abv,style,size,stock,purchased,drunk,ibu,collaborators,barrel_aged,barrel_type,brewed_with
Night On the Files,Cloudwater Brew Co.,2020,8,Imperial New England IPA,440,0,1,true,,,false,,
Home From Home ,Verdant Brewing co.,2020,6.5,IPA,440,0,1,true,,,false,,
Neal Gets Things Done,Verdant Brewing co.,2020,6.5,IPA,440,0,1,true,,,false,,
Freestone New Zealand IPA,The Wild Beer,2020,5.8,New England IPA,440,0,1,true,,,false,,
A Summer of Drowning,Wylam,2020,7.3,IPA,440,0,1,true,,,false,,
The 44th Line of Code,Wylam,2020,8,Double IPA,440,0,1,true,,,false,,
#12 Something Good 12,Deya,2020,6.2,IPA,500,0,1,true,,,false,,
Death By Coconut,Oskar Blues,2020,6.5,Porter,355,0,1,true,,,false,,
#3 Something Good 3,Deya,2020,6.2,IPA,500,0,1,true,,,false,,
Steady Rolling Man,Deya,2020,5.2,Pale Ale,500,0,1,true,,,false,,
Stereo Mono El Dorado,To Øl,2020,6.8,Single Hop IPA,440,0,1,true,,,false,,
